"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"5479162387","456454","12113","20 Jun 2020 02:00","37:16","2236","16-27","16,27","Dire","FlyToMoon","GeneRaL, ALWAYSWANNAFLY, ALOHADANCE, V-Tune, Iceberg","Team Liquid","iNSaNiA, Boxi, qojqva, miCKe, Taiga"
"5479159792","456431","12069","20 Jun 2020 01:52","1:10:36","4236","31-22","31,22","Radiant","T1","poloson, Forev, Meracle, Jhocam, inYourdreaM","Reality Rift","NuTz, kYxY, Drew, Alacrity, Hustla"
"5479019717","456431","12069","20 Jun 2020 12:12","57:40","3460","45-43","45,43","Radiant","T1","poloson, Forev, Meracle, Jhocam, inYourdreaM","Reality Rift","NuTz, kYxY, Drew, Alacrity, Hustla"
"5478927343","456395","11863","20 Jun 2020 10:25","37:02","2222","24-32","24,32","Dire","BOOM Esports","Hyde, Fibroez, Khezcute, _NinetyHearT_, TeravisuParkur","Geek Fam","Karl, Xepher, Raven, Whitemon, Kuku"
"5478860214","456395","11863","20 Jun 2020 09:24","31:16","1876","16-27","16,27","Dire","BOOM Esports","Hyde, Fibroez, Khezcute, _NinetyHearT_, TeravisuParkur","Geek Fam","Karl, Xepher, Raven, Whitemon, Kuku"
"5478856026","456403","12139","20 Jun 2020 09:29","34:56","2096","38-27","38,27","Radiant","The New Top","牧马, 咩爷, Luobo, OilBottle, hmx","Longinus","InJuly, , 汤 达 人, Piao, Yld"
"5478792366","456395","11863","20 Jun 2020 08:19","35:08","2108","18-30","18,30","Dire","BOOM Esports","Hyde, Fibroez, Khezcute, _NinetyHearT_, TeravisuParkur","Geek Fam","Karl, Xepher, Raven, Whitemon, Kuku"
"5478760905","456384","12139","20 Jun 2020 07:47","33:24","2004","50-36","50,36","Radiant","EHOME.Immortal","Yds., plAnet,  cjsdie, Blood,  x1yang","Typhoon","国内前10痛苦女王EHI.Blood, bagayalu, 粉刷匠, Unknown, -w-"
"5478720792","456378","11863","20 Jun 2020 07:03","32:29","1949","35-5","35,5","Radiant","BOOM Esports","Hyde, Fibroez, Khezcute, _NinetyHearT_, TeravisuParkur","Fnatic","iceiceice, Jabz, DJ, Moon, 23savage"
"5478708568","456384","12139","20 Jun 2020 07:00","23:46","1426","14-38","14,38","Dire","Typhoon","国内前10痛苦女王EHI.Blood, bagayalu, 粉刷匠, Unknown, -w-","EHOME.Immortal","Yds., plAnet,  cjsdie, Blood,  x1yang"
